observation_date,ACTLISCOUUS
2016-07-01,1462355
2016-08-01,1459457
2016-09-01,1442492
2016-10-01,1407001
2016-11-01,1339004
2016-12-01,1235252
2017-01-01,1153332
2017-02-01,1150315
2017-03-01,1171789
2017-04-01,1197537
2017-05-01,1253065
2017-06-01,1291592
2017-07-01,1321957
2017-08-01,1324680
2017-09-01,1307960
2017-10-01,1286713
2017-11-01,1227700
2017-12-01,1127436
2018-01-01,1043551
2018-02-01,1044759
2018-03-01,1066876
2018-04-01,1101640
2018-05-01,1156470
2018-06-01,1216021
2018-07-01,1261433
2018-08-01,1285156
2018-09-01,1301421
2018-10-01,1304194
2018-11-01,1272566
2018-12-01,1185402
2019-01-01,1110220
2019-02-01,1102257
2019-03-01,1115464
2019-04-01,1136639
2019-05-01,1180347
2019-06-01,1219250
2019-07-01,1239298
2019-08-01,1235018
2019-09-01,1224596
2019-10-01,1208001
2019-11-01,1142966
2019-12-01,1033452
2020-01-01,951225
2020-02-01,927811
2020-03-01,936768
2020-04-01,941187
2020-05-01,927807
2020-06-01,870940
2020-07-01,822207
2020-08-01,778993
2020-09-01,748818
2020-10-01,733489
2020-11-01,683245
2020-12-01,611546
2021-01-01,531073
2021-02-01,464214
2021-03-01,439922
2021-04-01,435045
2021-05-01,447088
2021-06-01,491880
2021-07-01,546151
2021-08-01,574109
2021-09-01,577566
2021-10-01,565205
2021-11-01,511739
2021-12-01,444855
2022-01-01,376591
2022-02-01,346141
2022-03-01,353651
2022-04-01,379601
2022-05-01,479069
2022-06-01,573244
2022-07-01,691216
2022-08-01,726353
2022-09-01,731085
2022-10-01,752314
2022-11-01,749745
2022-12-01,680436
2023-01-01,616317
2023-02-01,578627
2023-03-01,562041
2023-04-01,563025
2023-05-01,582032
