SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022,BIRTHS2020,BIRTHS2021,BIRTHS2022,DEATHS2020,DEATHS2021,DEATHS2022,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,NETMIG2020,NETMIG2021,NETMIG2022,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,GQESTIMATES2022,RBIRTH2021,RBIRTH2022,RDEATH2021,RDEATH2022,RNATURALCHG2021,RNATURALCHG2022,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RDOMESTICMIG2021,RDOMESTICMIG2022,RNETMIG2021,RNETMIG2022
40,3,6,1,0,Alabama,Alabama,5024356,5031362,5049846,5074296,7006,18484,24450,13867,57112,58280,15165,69056,66870,-1298,-11944,-8590,127,1805,4597,9042,27704,28609,9169,29509,33206,-865,919,-166,127918,131155,134475,141319,11.3303882,11.5130744,13.6999455,13.2100083,-2.3695573,-1.6969339,0.35809201,0.90812634,5.49616673,5.65163942,5.85425874,6.55976576
50,3,6,1,1,Alabama,Autauga County,58802,58902,59210,59759,100,308,549,162,694,709,177,682,673,-15,12,36,0,15,27,99,240,508,99,255,535,16,41,-22,478,478,478,478,11.7515578,11.9190714,11.5483609,11.3138717,0.20319697,0.60519967,0.25399621,0.45389976,4.06393931,8.54003984,4.31793552,8.9939396
50,3,6,1,3,Alabama,Baldwin County,231761,233219,239361,246435,1458,6142,7074,560,2367,2411,593,3044,2909,-33,-677,-498,11,105,315,1592,6969,6982,1603,7074,7297,-112,-255,275,3546,3450,3360,3369,10.0173516,9.92597716,12.8824749,11.9762205,-2.8651234,-2.0502433,0.44436921,1.29684065,29.4934191,28.7445759,29.9377883,30.0414166
50,3,6,1,5,Alabama,Barbour County,25224,24960,24539,24706,-264,-421,167,60,276,277,93,383,372,-33,-107,-95,0,0,4,-195,-308,243,-195,-308,247,-36,-6,15,2716,2475,2244,2701,11.1517404,11.2498731,15.4750601,15.1081328,-4.3233197,-3.8582597,0,0.16245304,-12.444696,9.86902224,-12.444696,10.0314753
50,3,6,1,7,Alabama,Bibb County,22300,22183,22370,22005,-117,187,-365,56,244,248,55,318,321,1,-74,-73,0,1,2,-107,259,-301,-107,260,-299,-11,1,7,2147,2063,2002,2033,10.9532467,11.1774648,14.275133,14.4676056,-3.3218863,-3.2901408,0.04489036,0.09014085,11.626602,-13.566197,11.6714924,-13.476056
50,3,6,1,9,Alabama,Blount County,59130,59102,59085,59512,-28,-17,427,137,656,674,201,865,844,-64,-209,-170,1,9,14,21,140,592,22,149,606,14,43,-9,616,616,616,616,11.1010517,11.3662234,14.6378197,14.233075,-3.536768,-2.8668516,0.15230101,0.23609366,2.36912689,9.98338912,2.52142791,10.2194828
50,3,6,1,11,Alabama,Bullock County,10362,10296,10280,10202,-66,-16,-78,24,110,112,40,150,149,-16,-40,-37,0,1,1,-44,18,-39,-44,19,-38,-6,5,-3,1706,1696,1704,1702,10.6920684,10.936432,14.5800933,14.5493604,-3.8880249,-3.6129284,0.09720062,0.09764671,1.7496112,-3.8082219,1.84681182,-3.7105751
50,3,6,1,13,Alabama,Butler County,19055,19031,18855,18650,-24,-176,-205,47,219,222,88,331,317,-41,-112,-95,0,5,11,15,-75,-116,15,-70,-105,2,6,-5,288,288,288,288,11.5609988,11.8384215,17.4734731,16.9044127,-5.9124743,-5.0659912,0.26394974,0.58658845,-3.9592462,-6.1858419,-3.6952964,-5.5992534
50,3,6,1,15,Alabama,Calhoun County,116444,116239,115677,115788,-205,-562,111,305,1276,1303,396,1868,1832,-91,-592,-529,0,12,35,-119,-68,637,-119,-56,672,5,86,-32,5631,5554,5410,5752,11.0039842,11.2587216,16.1092809,15.8296071,-5.1052967,-4.5708854,0.10348574,0.30242153,-0.5864192,5.50407189,-0.4829335,5.80649342
50,3,6,1,17,Alabama,Chambers County,34774,34645,34446,34088,-129,-199,-358,87,381,391,169,612,589,-82,-231,-198,2,22,53,-54,-10,-208,-52,12,-155,5,20,-5,860,856,848,850,11.0289329,11.4103948,17.7157662,17.1885488,-6.6868333,-5.7781539,0.63684127,1.54667756,-0.2894733,-6.0699799,0.34736796,-4.5233023
50,3,6,1,19,Alabama,Cherokee County,24979,24972,25026,25302,-7,54,276,62,239,248,124,476,471,-62,-237,-223,0,7,14,58,284,478,58,291,492,-3,0,7,278,278,278,278,9.56038242,9.85534891,19.0407616,18.7172151,-9.4803792,-8.8618662,0.2800112,0.55635034,11.3604544,18.9953902,11.6404656,19.5517406
50,3,6,1,21,Alabama,Chilton County,45009,45051,45259,45884,42,208,625,147,546,562,144,666,641,3,-120,-79,1,20,36,26,290,659,27,310,695,12,18,9,388,388,388,388,12.0916842,12.3322691,14.7491972,14.0658087,-2.657513,-1.7335396,0.44291884,0.78996741,6.42232311,14.4607924,6.86524194,15.2507598
50,3,6,1,23,Alabama,Choctaw County,12663,12619,12549,12439,-44,-70,-110,33,136,137,53,203,200,-20,-67,-63,0,1,0,-23,-12,-41,-23,-11,-41,-1,8,-6,66,66,66,66,10.8073744,10.9652633,16.1315957,16.0076837,-5.3242212,-5.0424204,0.07946599,0,-0.9535919,-3.2815752,-0.8741259,-3.2815752
50,3,6,1,25,Alabama,Clarke County,23087,22981,22715,22515,-106,-266,-200,57,282,285,101,436,423,-44,-154,-138,0,0,1,-57,-120,-57,-57,-120,-56,-5,8,-6,366,366,366,366,12.342437,12.6022551,19.0826331,18.7043997,-6.7401961,-6.1021446,0,0.04421844,-5.2521008,-2.520451,-5.2521008,-2.4762326
50,3,6,1,27,Alabama,Clay County,14237,14211,14190,14198,-26,-21,8,33,153,156,39,257,244,-6,-104,-88,0,-1,-3,-20,77,104,-20,76,101,0,7,-5,259,259,258,259,10.7742685,10.9905594,18.0979543,17.1903621,-7.3236858,-6.1998027,-0.0704201,-0.2113569,5.42234428,7.32703959,5.35192423,7.11568268
50,3,6,1,29,Alabama,Cleburne County,15057,15063,15148,15346,6,85,198,37,168,172,48,259,251,-11,-91,-79,0,0,0,14,174,268,14,174,268,3,2,9,173,173,173,173,11.1217768,11.2809077,17.1460726,16.4622549,-6.0242958,-5.1813472,0,0,11.5189832,17.5772283,11.5189832,17.5772283
50,3,6,1,31,Alabama,Coffee County,53460,53547,54171,54805,87,624,634,159,678,685,176,722,704,-17,-44,-19,1,26,70,93,628,586,94,654,656,10,14,-3,769,714,696,704,12.5884253,12.5715754,13.4053733,12.920276,-0.816948,-0.3487006,0.48274197,1.28468654,11.6600754,10.7546616,12.1428174,12.0393481
50,3,6,1,33,Alabama,Colbert County,57232,57299,57619,58033,67,320,414,166,636,647,176,880,858,-10,-244,-211,2,10,23,67,540,595,69,550,618,8,14,7,406,406,406,406,11.0687621,11.1887386,15.3152683,14.8376163,-4.2465062,-3.6488777,0.17403714,0.39774496,9.39800553,10.2894892,9.57204267,10.6872341
50,3,6,1,35,Alabama,Conecuh County,11597,11553,11320,11206,-44,-233,-114,29,123,122,45,234,228,-16,-111,-106,0,0,0,-28,-122,-4,-28,-122,-4,0,0,-4,128,128,128,128,10.7550387,10.8319276,20.4608053,20.2432744,-9.7057666,-9.4113469,0,0,-10.667599,-0.3551452,-10.667599,-0.3551452
50,3,6,1,37,Alabama,Coosa County,10382,10341,10366,10166,-41,25,-200,27,89,89,29,192,184,-2,-103,-95,0,-1,-4,-32,131,-107,-32,130,-111,-7,-2,6,314,267,242,148,8.59612691,8.66939412,18.5444536,17.9232418,-9.9483267,-9.2538477,-0.0965857,-0.3896357,12.6527261,-10.422755,12.5561404,-10.81239
50,3,6,1,39,Alabama,Covington County,37567,37507,37542,37602,-60,35,60,88,425,431,158,709,702,-70,-284,-271,0,1,2,3,307,336,3,308,338,7,11,-7,780,780,780,780,11.3259337,11.4713084,18.8943224,18.6841265,-7.5683887,-7.2128181,0.02664926,0.05323113,8.18132154,8.94282977,8.20797079,8.9960609
50,3,6,1,41,Alabama,Crenshaw County,13197,13165,13056,13025,-32,-109,-31,41,152,156,61,261,251,-20,-109,-95,1,6,14,-13,-15,56,-12,-9,70,0,9,-6,154,154,153,152,11.5937607,11.9627315,19.9077076,19.2477282,-8.3139468,-7.2849967,0.45764845,1.07357847,-1.1441211,4.29431387,-0.6864727,5.36789234
50,3,6,1,43,Alabama,Cullman County,87857,88131,89618,90665,274,1487,1047,252,980,1005,254,1341,1273,-2,-361,-268,0,-6,-14,286,1908,1301,286,1902,1287,-10,-54,28,1268,1250,1250,1250,11.026785,11.1491377,15.0886925,14.1222411,-4.0619075,-2.9731034,-0.0675109,-0.1553114,21.4684752,14.4328639,21.4009643,14.2775525
50,3,6,1,45,Alabama,Dale County,49319,49253,49412,49544,-66,159,132,149,673,686,138,676,694,11,-3,-8,1,8,48,-81,117,112,-80,125,160,3,37,-20,755,755,755,755,13.6421223,13.864748,13.7029342,14.026436,-0.0608118,-0.161688,0.1621649,0.97012814,2.37166168,2.26363232,2.53382658,3.23376046
50,3,6,1,47,Alabama,Dallas County,38463,38174,37565,36767,-289,-609,-798,101,447,455,161,650,653,-60,-203,-198,1,10,21,-207,-417,-632,-206,-407,-611,-23,1,11,480,480,480,480,11.8036943,12.2423721,17.1642087,17.5698219,-5.3605144,-5.3274498,0.26406475,0.56503256,-11.0115,-17.004789,-10.747435,-16.439757
50,3,6,1,49,Alabama,DeKalb County,71611,71648,71829,71998,37,181,169,188,801,819,222,1112,1081,-34,-311,-262,4,35,98,47,419,364,51,454,462,20,38,-31,846,846,846,846,11.1655527,11.3886822,15.5007423,15.0319481,-4.3351896,-3.6432659,0.48788308,1.3627483,5.84065739,5.06163655,6.32854046,6.42438485
